x,y,ra_deg,dec_deg,radius_arcsec,distance_from_chaos_arcsec,pabeta_flux,pagamma_flux,pabeta_pagamma_ratio,valid_ratio,pabeta_flux_fraction,pagamma_flux_fraction,diagnostic_Av_for_intrinsic_ratio_2p0
64,47,-157.51799674567275,47.195875810192724,0.22360680108197975,0.21437208853665457,7.994100147445527,3.0300002098083496,2.638316697658302,True,0.005961660785908827,0.004539925200729376,2.6944856921514835
65,47,-157.51803762575912,47.19587581015638,0.3162277707289986,0.3084362025147104,7.020602695919294,2.763720750808716,2.5402720929257905,True,0.005235667681631711,0.004140952018339568,2.326102493382411
66,47,-157.51807850584552,47.19587581010548,0.41231056870567195,0.4053521806447194,7.2508725883659935,2.694538116455078,2.6909519461187688,True,0.005407393199533011,0.0040372939446080185,2.8866438511728916
58,48,-157.5177514650689,47.19590358788367,0.4000000059604642,0.4043188994298546,29.486541432766153,17.622188568115234,1.6732621671134382,True,0.02198981180239157,0.026403766479426008,-1.7351318832731024
59,48,-157.51779234517667,47.19590358793456,0.30000000447034814,0.30438670726446576,19.700903308815903,12.638436317443848,1.5588086068546536,True,0.0146920979893753,0.0189364856641399,-2.4243643407089794
60,48,-157.51783322528445,47.195903587970925,0.2000000029802321,0.20452081379955833,16.48834566518439,6.9425435066223145,2.3749718888267073,True,0.012296308773170693,0.010402186812016202,1.6715752018984058
61,48,-157.51787410539222,47.195903587992724,0.10000000149011605,0.10491072198250863,11.155592453004484,10.75767993927002,1.036988692355674,True,0.00831936763913433,0.016118501279167217,-6.389341277304176
62,48,-157.5179149855,47.195903588,0.0,0.013555681172682308,8.511903315190235,3.4416794776916504,2.473183040536711,True,0.0063478164235698615,0.005156754558308672,2.0657413959503055
63,48,-157.51795586560777,47.195903587992724,0.10000000149011605,0.09675357351983704,8.937991542290279,2.621955156326294,3.4089032837669073,True,0.006665574948980811,0.003928541077606387,5.187178223292517
64,48,-157.51799674571555,47.195903587970925,0.2000000029802321,0.19631289331437984,7.5323801410560955,1.247321367263794,6.038844790721111,True,0.005617329590978647,0.0018688928437425069,10.749634273720709
65,48,-157.51803762582333,47.19590358793456,0.30000000447034814,0.29616929409579557,6.138064266934694,7.638416290283203,0.8035781284587618,True,0.00457750795794895,0.011444830431913373,-8.869897322915232
66,48,-157.5180785059311,47.19590358788367,0.4000000059604642,0.3960981570827171,6.004182237085398,5.237846374511719,1.146307433968053,True,0.004477664419268055,0.007847996404824942,-5.414394403587324
58,49,-157.5177514649833,47.195931365661856,0.41231056870567195,0.4195916261935629,37.73070288963084,17.258222579956055,2.186245003784562,True,0.028137957705441894,0.02585842712383674,0.866128674107779
59,49,-157.51779234511247,47.19593136571277,0.3162277707289986,0.3243988716063676,22.203337018376246,10.814229011535645,2.053159498905722,True,0.016558306898503045,0.01620323017041466,0.25518064527910317
60,49,-157.51783322524165,47.195931365749104,0.22360680108197975,0.233264064096042,12.456363569386543,6.408127307891846,1.9438383432311137,True,0.009289427559944273,0.00960145763700142,-0.27706764168305553
61,49,-157.51787410537082,47.19593136577092,0.14142135834465183,0.15358912693599253,8.044129953982635,5.18167781829834,1.5524180074600475,True,0.0059989708933953076,0.007763837650308607,-2.464326247503135
62,49,-157.5179149855,47.19593136577819,0.10000000149011605,0.11299166703443388,7.892622806123109,6.721285343170166,1.1742728366893689,True,0.005885983289347383,0.010070670164303809,-5.179927714664686
63,49,-157.51795586562918,47.19593136577092,0.14142135834465183,0.1481371469779746,9.16208289237604,2.752180576324463,3.3290267983113235,True,0.006832692772078704,0.004123661085886072,4.956530890638778
64,49,-157.51799674575835,47.195931365749104,0.22360680108197975,0.22610199557901858,8.279011517963216,3.6465423107147217,2.270373085658927,True,0.0061741356003027405,0.005463705671818028,1.2334302618198258
65,49,-157.51803762588753,47.19593136571277,0.3162277707289986,0.3167011384689161,5.1994269215636715,1.6962076425552368,3.0653245458386458,True,0.0038775120421014227,0.0025414703923711474,4.153745659261854
66,49,-157.5180785060167,47.195931365661856,0.41231056870567195,0.41167597741306716,4.245083114688577,1.314997673034668,3.2282057997046065,True,0.003165802913521111,0.0019702939476324934,4.657373128707851
