velocity_kms,pa_beta_only_chi2,joint_profile_pa_beta_chi2,joint_profile_ci_chi2,joint_delta_chi2_pa_beta,joint_delta_chi2_ci
760.0,204293.66364542008,1828.7076684770448,1849.7171675246805,0.39046511539095263,21.399964163026652
765.0,209832.74613974345,1828.7076684770445,1849.7171675246775,0.39046511539072526,21.399964163023697
770.0,215149.56937199336,1828.7076684770439,1849.7171675246768,0.39046511539004314,21.399964163023014
775.0,220239.51438727576,1828.7076684770443,1849.7171675246718,0.3904651153904979,21.399964163018012
780.0,225099.25685960922,1828.7076684770448,1849.7171675246775,0.39046511539095263,21.399964163023697
785.0,229726.68461979003,1828.7076684770445,1849.7171675246739,0.39046511539072526,21.39996416302006
790.0,234120.81411676024,1828.7076684770439,1849.7171675246798,0.39046511539004314,21.39996416302597
795.0,238281.70766441166,1828.7076684770443,1849.7171675246732,0.3904651153904979,21.399964163019376
800.0,242210.39292201548,1828.7076684770448,1849.7171675246805,0.39046511539095263,21.399964163026652
805.0,245908.78563449517,1828.7076684770439,1849.7171675246775,0.39046511539004314,21.399964163023697
810.0,249379.61625249323,1828.707668477042,1849.7171675246775,0.39046511538822415,21.399964163023697
815.0,252626.36067220947,1828.7076684770445,1849.7171675246768,0.39046511539072526,21.399964163023014
820.0,255653.1750133289,1828.707668477042,1849.7171675246768,0.39046511538822415,21.399964163023014
825.0,258464.8340921771,1828.7076684770443,1849.7171675246775,0.3904651153904979,21.399964163023697
830.0,261066.67306501846,1828.7076684770448,1849.7171675246732,0.39046511539095263,21.399964163019376
835.0,263464.5316096837,1828.7076684770439,1849.7171675246775,0.39046511539004314,21.399964163023697
840.0,265664.6999859266,1828.7076684770445,1849.7171675246805,0.39046511539072526,21.399964163026652
845.0,267673.86635623843,1828.707668477042,1849.717167524671,0.39046511538822415,21.399964163017103
850.0,269499.0648505088,1828.707668477042,1849.7171675246798,0.39046511538822415,21.39996416302597
855.0,271147.6240031387,1828.7076684770443,1849.7171675246805,0.3904651153904979,21.399964163026652
860.0,272627.115367658,1828.7076684770445,1849.7171675246805,0.39046511539072526,21.399964163026652
865.0,273945.30229906394,1828.7076684770443,1849.7171675246784,0.3904651153904979,21.399964163024606
870.0,275110.0890765737,1828.7076684770445,1849.7171675246768,0.39046511539072526,21.399964163023014
875.0,276129.4707000659,1828.7076684770439,1849.7171675246768,0.39046511539004314,21.399964163023014
880.0,277011.4838231649,1828.7076684770445,1849.7171675246768,0.39046511539072526,21.399964163023014
885.0,277764.15937398764,1828.707668477042,1849.7171675246768,0.39046511538822415,21.399964163023014
890.0,278395.47745746025,1828.7076684770445,1849.7171675246775,0.39046511539072526,21.399964163023697
895.0,278913.3251304535,1828.7076684770448,1849.7171675246775,0.39046511539095263,21.399964163023697
900.0,279325.4575946965,1828.7076684770439,1849.7171675246798,0.39046511539004314,21.39996416302597
