wavelength_nm,aperture_flux,aperture_error,pabeta_continuum,pabeta_continuum_subtracted,pabeta_model,pabeta_residual,pagamma_continuum,pagamma_continuum_subtracted,pagamma_model,pagamma_residual
1007.2060292877723,448.4905757904053,4.197526248418913,576.3295112659051,-127.83893547549985,0.0,-127.83893547549985,494.67249220578606,-46.18191641538078,0.0,-46.18191641538078
1007.8420292993542,318.9298195838928,3.9089633238662134,575.9050481050381,-256.97522852114525,0.0,-256.97522852114525,493.58040626673505,-174.65058668284223,0.0,-174.65058668284223
1008.4780293109361,303.0488154888153,4.082756683092961,575.480584944171,-272.4317694553557,0.0,-272.4317694553557,492.4883203276843,-189.43950483886897,0.0,-189.43950483886897
1009.114029322518,286.0392030477524,4.444549158250119,575.056121783304,-289.0169187355516,0.0,-289.0169187355516,491.3962343886333,-205.3570313408809,0.0,-205.3570313408809
1009.7500293341,282.91180634498596,4.271973385205862,574.6316586224369,-291.71985227745097,0.0,-291.71985227745097,490.30414844958227,-207.3923421045963,0.0,-207.3923421045963
1010.3860293456819,295.6597992181778,4.328291456290334,574.2071954615699,-278.5473962433921,0.0,-278.5473962433921,489.21206251053127,-193.55226329235347,0.0,-193.55226329235347
1011.0220293572638,306.7895755767822,4.258682822362161,573.7827323007028,-266.9931567239206,0.0,-266.9931567239206,488.1199765714805,-181.33040099469827,0.0,-181.33040099469827
1011.6580293688457,321.1374638080597,4.244485953632065,573.3582691398358,-252.2208053317761,0.0,-252.2208053317761,487.0278906324295,-165.8904268243698,0.0,-165.8904268243698
1012.2940293804277,318.5894134044647,4.190729974100762,572.9338059789687,-254.344392574504,0.0,-254.344392574504,485.9358046933785,-167.34639128891376,0.0,-167.34639128891376
1012.9300293920096,326.11613726615906,4.0303470091505424,572.5093428181017,-246.39320555194263,0.0,-246.39320555194263,484.8437187543277,-158.72758148816865,0.0,-158.72758148816865
1013.5660294035915,324.64665961265564,4.147262107805755,572.0848796572346,-247.438220044579,0.0,-247.438220044579,483.7516328152767,-159.10497320262107,0.0,-159.10497320262107
1014.2020294151735,318.34579849243164,4.1047555573557934,571.6604164963676,-253.31461800393595,0.0,-253.31461800393595,482.6595468762257,-164.31374838379406,0.0,-164.31374838379406
