x_pixel,y_pixel,ra_deg,dec_deg,dx_arcsec,dy_arcsec,radius_from_center_arcsec,inside_nominal_aperture,pabeta_flux,pagamma_flux,ratio,best_av,best_te,best_ne,best_intrinsic_ratio,grid_residual,chaos_1sigma,chaos_2sigma,chaos_3sigma
62,47,202.4820850145,47.19587581022181,0.0,-0.100000001490116,0.100000001490116,True,10.900746016902367,9.563840866088867,1.1397874734149804,-1.6624712044277568,5000.0,100000000000.0,1.28589947,3.8996740016305544,False,False,False
63,47,202.48204413441363,47.19587581021454,0.100000001490116,-0.100000001490116,0.1414213583446518,True,8.334860692780536,13.133702278137207,0.6346162351079802,-9.733533033172778,5000.0,100000000000.0,1.28589947,11.970735830375576,False,False,False
64,47,202.48200325432725,47.19587581019272,0.2000000029802321,-0.100000001490116,0.2236068010819797,True,7.994100147445527,3.0300002098083496,2.638316697658302,2.460237961035963,5000.0,10000000000000.0,2.20702268,0.22303516383316557,False,False,False
65,47,202.48196237424088,47.19587581015638,0.3000000044703481,-0.100000001490116,0.3162277707289986,True,7.020602695919294,2.763720750808716,2.5402720929257905,2.4023046380267883,7500.0,100000000000000.0,2.13395639,0.16510184082399082,False,False,False
66,47,202.48192149415448,47.19587581010548,0.4000000059604642,-0.100000001490116,0.4123105687056719,True,7.2508725883659935,2.694538116455078,2.6909519461187688,2.7325081647988694,5000.0,10000000000000.0,2.20702268,0.4953053675960719,False,False,False
58,48,202.4822485349311,47.19590358788367,-0.4000000059604642,0.0,0.4000000059604642,True,29.486541432766153,17.622188568115234,1.6732621671134382,2.250905971694614,10000.0,100000000000.0,1.42114943,0.013703174491816572,True,True,True
59,48,202.48220765482333,47.19590358793456,-0.3000000044703481,0.0,0.3000000044703481,True,19.700903308815903,12.638436317443848,1.5588086068546536,1.841866808981711,7500.0,100000000000.0,1.36381997,0.3953359882210865,False,False,False
60,48,202.48216677471555,47.195903587970925,-0.2000000029802321,0.0,0.2000000029802321,True,16.48834566518439,6.9425435066223145,2.3749718888267073,2.2796655416442726,10000.0,100000000000000.0,2.01292705,0.04246274444147513,False,True,True
61,48,202.48212589460775,47.19590358799272,-0.100000001490116,0.0,0.100000001490116,True,11.155592453004484,10.75767993927002,1.036988692355674,-2.965260831315217,5000.0,100000000000.0,1.28589947,5.202463628518014,False,False,False
62,48,202.4820850145,47.195903588,0.0,0.0,0.0,True,8.511903315190235,3.4416794776916504,2.473183040536711,2.0333972264925455,7500.0,100000000000000.0,2.13395639,0.20380557071025196,False,False,False
