x_pixel,y_pixel,ra_deg,dec_deg,dx_arcsec,dy_arcsec,radius_from_center_arcsec,inside_nominal_aperture
77,1,202.4814718279698,47.19459803078943,1.5000000223517407,-4.700000070035454,4.933558626933351,False
78,1,202.4814309488678,47.19459803056405,1.6000000238418568,-4.700000070035454,4.9648767089049874,False
79,1,202.48139006976578,47.19459803032412,1.700000025331973,-4.700000070035454,4.997999674315914,False
80,1,202.4813491906638,47.19459803006968,1.8000000268220888,-4.700000070035454,5.032891887860576,False
81,1,202.48130831156178,47.19459802980067,1.900000028312205,-4.700000070035454,5.069516817796313,False
82,1,202.4812674324598,47.194598029517145,2.000000029802321,-4.700000070035454,5.107837191761554,False
83,1,202.48122655335777,47.194598029219065,2.100000031292437,-4.700000070035454,5.147815147201919,False
84,1,202.48118567425576,47.194598028906455,2.2000000327825533,-4.700000070035454,5.189412375459914,False
85,1,202.48114479515377,47.1945980285793,2.300000034272669,-4.700000070035454,5.232590258752118,False
86,1,202.48110391605178,47.194598028237614,2.400000035762785,-4.700000070035454,5.277309999421546,False
87,1,202.48106303694976,47.194598027881355,2.500000037252901,-4.700000070035454,5.323532741009281,False
88,1,202.48102215784775,47.19459802751058,2.6000000387430173,-4.700000070035454,5.371219680835719,False
89,1,202.48098127874576,47.19459802712525,2.7000000402331334,-4.700000070035454,5.420332173916299,False
90,1,202.48094039964377,47.1945980267254,2.8000000417232496,-4.700000070035454,5.470831828157714,False
91,1,202.48089952054175,47.194598026311,2.9000000432133652,-4.700000070035454,5.522680590887979,False
92,1,202.48085864143977,47.19459802588208,3.0000000447034814,-4.700000070035454,5.575840826866758,False
93,1,202.48081776233778,47.19459802543858,3.1000000461935975,-4.700000070035454,5.630275388001335,False
94,1,202.48077688323576,47.19459802498056,3.2000000476837136,-4.700000070035454,5.685947675059017,False
95,1,202.48073600413377,47.194598024508,3.3000000491738297,-4.700000070035454,5.7428216917191985,False
96,1,202.4806951250318,47.194598024020905,3.400000050663946,-4.700000070035454,5.800862091348846,False
97,1,202.4806542459298,47.19459802351926,3.500000052154062,-4.700000070035454,5.8600342169147535,False
98,1,202.4806133668278,47.194598023003074,3.6000000536441776,-4.700000070035454,5.920304134465675,False
99,1,202.48057248772582,47.194598022472356,3.7000000551342938,-4.700000070035454,5.9816386606286285,False
100,1,202.48053160862386,47.19459802192709,3.80000005662441,-4.700000070035454,6.044005384567323,False
101,1,202.48049072952185,47.19459802136727,3.900000058114526,-4.700000070035454,6.1073726848479275,False
102,1,202.48044985041986,47.19459802079293,4.000000059604642,-4.700000070035454,6.171709741649425,False
103,1,202.4804089713179,47.194598020204054,4.100000061094758,-4.700000070035454,6.236986544743406,False
104,1,202.48036809221594,47.19459801960063,4.200000062584874,-4.700000070035454,6.303173897652374,False
105,1,202.48032721311395,47.19459801898266,4.3000000640749905,-4.700000070035454,6.370243418377212,False
106,1,202.480286334012,47.194598018350185,4.400000065565107,-4.700000070035454,6.438167537064116,False
107,1,202.48024545491,47.19459801770312,4.500000067055222,-4.700000070035454,6.506919490959626,False
108,1,202.48020457580805,47.19459801704156,4.600000068545338,-4.700000070035454,6.576473316980035,False
109,1,202.4801636967061,47.19459801636542,4.700000070035454,-4.700000070035454,6.6468038421986355,False
110,1,202.4801228176041,47.19459801567475,4.80000007152557,-4.700000070035454,6.717886672531678,False
111,1,202.48008193850214,47.19459801496953,4.900000073015686,-4.700000070035454,6.7896981798815625,False
112,1,202.48004105940015,47.194598014249785,5.000000074505802,-4.700000070035454,6.862215487974077,False
113,1,202.4800001802982,47.194598013515495,5.1000000759959185,-4.700000070035454,6.9354164571056325,False
114,1,202.47995930119626,47.19459801276667,5.200000077486035,-4.700000070035454,7.009279667996423,False
