Te,ne,intrinsic_ratio,observed_ratio,ratio_sigma,ratio_observed_minus_intrinsic,required_Av,A_Pa_beta,A_Pa_gamma,predicted_ratio,ratio_residual,ratio_residual_sigma,solution_class,required_Av_minus_1sigma,required_Av_plus_1sigma,required_Av_uncertainty,CHAOS_Av,CHAOS_Av_sigma,delta_Av,difference_sigma
12500.0,100000.0,1.78005173,3.352378,0.103204,1.57232627,6.15783771,2.22071333,2.90801423,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.85366412,6.45278775,0.299561813,2.2372027972027975,0.028181818181818183,3.9206349127972024,139.1193033573201
12500.0,1000000.0,1.77126761,3.352378,0.103204,1.58111039,6.20595987,2.23806772,2.93073972,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.90178628,6.5009099,0.299561813,2.2372027972027975,0.028181818181818183,3.9687570727972026,140.82686387344913
12500.0,10000000.0,1.75383228,3.352378,0.103204,1.59854572,6.30218706,2.27277032,2.97618263,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,5.99801346,6.59713709,0.299561813,2.2372027972027975,0.028181818181818183,4.064984262797202,144.24137706699747
12500.0,100000000.0,1.69506335,3.352378,0.103204,1.65731465,6.63373432,2.39233688,3.1327545,3.352378,-1.33226763e-15,-1.29090697e-14,positive_Av,6.32956073,6.92868435,0.299561813,2.2372027972027975,0.028181818181818183,4.396531522797202,156.0059572605459
12500.0,1000000000.0,1.65699155,3.352378,0.103204,1.69538645,6.85471108,2.47202817,3.23710989,3.352378,0.0,0.0,positive_Av,6.55053749,7.14966111,0.299561813,2.2372027972027975,0.028181818181818183,4.617508282797203,163.8470680992556
12500.0,10000000000.0,1.59786477,3.352378,0.103204,1.75451323,7.20816745,2.59949584,3.40402825,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,6.90399386,7.50311749,0.299561813,2.2372027972027975,0.028181818181818183,4.970964652797203,176.38906832506206
12500.0,100000000000.0,1.46675359,3.352378,0.103204,1.88562441,8.04101241,2.89984639,3.79733594,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,7.73683881,8.33596244,0.299561813,2.2372027972027975,0.028181818181818183,5.8038096127972025,205.9416314218362
12500.0,1000000000000.0,1.67632114,3.352378,0.103204,1.67605686,6.74189081,2.43134157,3.18383097,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,6.43771722,7.03684085,0.299561813,2.2372027972027975,0.028181818181818183,4.504688012797203,159.84376819602977
12500.0,10000000000000.0,1.88836105,3.352378,0.103204,1.46401695,5.58325902,2.01350187,2.63667174,3.352378,0.0,0.0,positive_Av,5.27908543,5.87820906,0.299561813,2.2372027972027975,0.028181818181818183,3.3460562227972024,118.73102726054589
12500.0,100000000000000.0,1.94183865,3.352378,0.103204,1.41053935,5.3116061,1.91553513,2.50838473,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.0074325,5.60655613,0.299561813,2.2372027972027975,0.028181818181818183,3.074403302797202,109.09173009925556
