species,wavelength_source,rest_wavelength_vacuum_nm,predicted_wavelength_at_M51_nm,observed_feature_nm,wavelength_difference_nm,absolute_wavelength_difference_nm,required_velocity_kms,reference_velocity_kms,velocity_offset_kms,instrument_fwhm_nm,distance_in_fwhm,relative_intensity,Aki_s-1,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,accuracy,line_reference,ranking
Fe II,Ritz vacuum,1279.122609583205,1281.5728439061186,1284.2613044,-2.6884604938813936,2.6884604938813936,1201.9547682946852,573.72,628.2347682946852,1.4015729612572303,1.9181737720381018,nan,0.00355,862.6118,8680.4706,3d6.(5D).4s,a 6D,3/2,3d6.(5D).4s,a 4D,3/2,C+,L22760,distant
Fe II,Ritz vacuum,1284.5426315268992,1287.0032482194915,1284.2613044,2.741943819491553,2.741943819491553,-65.66460653851239,573.72,-639.3846065385125,1.4015729612572303,1.956333273604245,2.1,nan,105155.093,112939.965,3d6.(3F2).4d,4G,9/2,3d6.(5D<4>).5f,2[5]*,9/2,,L18349c139,distant
C I,Ritz vacuum,1279.0097689389527,1281.4597871089989,1284.2613044,-2.801517291001119,2.801517291001119,1228.4023584025517,573.72,654.6823584025517,1.4015729612572303,1.9988379973370198,nan,60000.0,81344.05485,89162.6,2s2.2p.4p,3P,2,2s2.2p.(2P*<3/2>).8d,2[3/2]*,2,D,,distant
Cs II,Ritz vacuum,1284.6152012353336,1287.0759569394556,1284.2613044,2.8146525394556647,2.8146525394556647,-82.60077889830794,573.72,-656.3207788983079,1.4015729612572303,2.008209788044771,4500.0,nan,163189.3511,170973.7833,5p5.(2P*<1/2>).7s,2[1/2]*,1,5p5.(2P*<1/2>).4f,2[5/2],2,,L12126,distant
Fe II,Ritz vacuum,1284.645269401229,1287.1060827026847,1284.2613044,2.8447783026847446,2.8447783026847446,-89.6177464036607,573.72,-663.3377464036607,1.4015729612572303,2.029704040618006,1.2,nan,105127.773,112912.023,3d6.(5D).5d,4D,5/2,3d6.(5D<4>).5f,2[3]*,7/2,,L18349c139,distant
He I,Ritz vacuum,1278.8487662153063,1281.2984759751998,1284.2613044,-2.9628284248001364,2.9628284248001364,1266.1421834360578,573.72,692.4221834360578,1.4015729612572303,2.1139309238260693,50.0,3842600.0,nan,nan,1s.3d,3D,1,1s.5f,3F*,2,AAA,L885,distant
He I,Ritz vacuum,1278.842762584896,1281.2924608444835,1284.2613044,-2.9688435555165142,2.9688435555165142,1267.549554854935,573.72,693.8295548549349,1.4015729612572303,2.1182226238535744,nan,2898000.0,nan,nan,1s.3d,3D,2,1s.5f,3F*,3,AAA,L7384,distant
He I,Ritz vacuum,1278.842352473522,1281.2920499475172,1284.2613044,-2.969254452482801,2.969254452482801,1267.6456934281046,573.72,693.9256934281045,1.4015729612572303,2.11851579229906,nan,354570.0,nan,nan,1s.3d,3D,3,1s.5f,3F*,3,AAA,L7384,distant
He I,Ritz vacuum,1278.841849336885,1281.2915458470923,1284.2613044,-2.969758552907706,2.969758552907706,1267.7636390852388,573.72,694.0436390852387,1.4015729612572303,2.1188754599288155,nan,4574600.0,nan,nan,1s.3d,3D,3,1s.5f,3F*,4,AAA,L7384,distant
He I,Ritz vacuum,1278.8415382524033,1281.2912341667102,1284.2613044,-2.970070233289789,2.970070233289789,1267.836563759219,573.72,694.1165637592189,1.4015729612572303,2.119097838920633,nan,711420.0,nan,nan,1s.3d,3D,2,1s.5f,3F*,2,AAA,L7384,distant
He I,Ritz vacuum,1278.841128141029,1281.2908232697434,1284.2613044,-2.9704811302565304,2.9704811302565304,1267.9327024236957,573.72,694.2127024236956,1.4015729612572303,2.1193910073664433,nan,20331.0,nan,nan,1s.3d,3D,3,1s.5f,3F*,2,AAA,L7384,distant
He I,Ritz vacuum,1278.840700024765,1281.2903943333977,1284.2613044,-2.9709100666023005,2.9709100666023005,1268.0330618426656,573.72,694.3130618426655,1.4015729612572303,2.11969704662207,nan,1168000.0,nan,nan,1s.3d,3D,2,1s.5f,1F*,3,AA,,distant
He I,Ritz vacuum,1278.8402889131194,1281.2899824342435,1284.2613044,-2.9713219657564878,2.9713219657564878,1268.1294350543333,573.72,694.4094350543332,1.4015729612572303,2.1199909301126723,nan,153700.0,nan,nan,1s.3d,3D,3,1s.5f,1F*,3,AA,,distant
C I,Ritz vacuum,1284.853355913282,1287.3145678166468,1284.2613044,3.053263416646814,3.053263416646814,-138.17411246386325,573.72,-711.8941124638633,1.4015729612572303,2.1784548511181288,nan,50000.0,80801.28887,88584.28,2s2.2p.4p,3D,2,2s2.2p.(2P*<3/2>).8s,2[3/2]*,2,D,,distant
Fe II,Ritz vacuum,1284.85555651092,1287.3167726296585,1284.2613044,3.0554682296585725,3.0554682296585725,-138.6875732929104,573.72,-712.4075732929105,1.4015729612572303,2.1800279501095505,10.0,nan,107197.107,114980.083,3d6.(5D).6p,6P*,7/2,3d6.(5D).6d,6P,7/2,,L18349c139,distant
Fe I,Ritz vacuum,1278.6941832351124,1281.1435968822477,1284.2613044,-3.117707517752251,3.117707517752251,1302.3816226669505,573.72,728.6616226669505,1.4015729612572303,2.224434691545151,nan,nan,51539.72,59360.198,3d6.(5D).4s (6D).4d,e 7G,2,3d6.4s.(4D).5p,5P*,1,,L11631,distant
Fe II,Ritz vacuum,1284.9379388843104,1287.3993128113132,1284.2613044,3.1380084113131943,3.1380084113131943,-157.90904631425698,573.72,-731.629046314257,1.4015729612572303,2.238919055985753,1.0,nan,106863.62,114646.097,3d6.(5D).6p,4D*,7/2,3d6.(5D).6d,4G,7/2,,L18349c139,distant
He I,Ritz vacuum,1284.9457950178785,1287.4071839937656,1284.2613044,3.145879593765585,3.145879593765585,-159.7419766532205,573.72,-733.4619766532205,1.4015729612572303,2.244535019385425,nan,1517600.0,nan,nan,1s.3p,3P*,2,1s.5s,3S,1,AAA,L885,distant
He I,Ritz vacuum,1284.9494250037094,1287.4108209330473,1284.2613044,3.14951653304729,3.14951653304729,-160.5888921660984,573.72,-734.3088921660984,1.4015729612572303,2.2471299176763013,nan,910570.0,nan,nan,1s.3p,3P*,1,1s.5s,3S,1,AAA,L885,distant
Ar II,Ritz vacuum,1278.6272450566817,1281.0765304798133,1284.2613044,-3.1847739201866716,3.1847739201866716,1318.0755260740311,573.72,744.3555260740311,1.4015729612572303,2.2722855022330664,447.0,nan,181594.1404,189415.028,3s2.3p4.(3P).5s,4P,5/2,3s2.3p4.(3P).5p,4D*,7/2,,L11520,distant
