species,element,ion_stage,observed_wavelength_air_nm,observed_wavelength_uncertainty_nm,ritz_wavelength_air_nm,ritz_wavelength_uncertainty_nm,observed_wavelength_vacuum_nm,ritz_wavelength_vacuum_nm,relative_intensity,Aki_s-1,accuracy,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,transition_type,transition_probability_reference,line_reference,source,source_file
Ne I,Ne,1,1275.27222,0.00014,1275.2723,0.00023,1275.6210686750592,1275.6211486967904,nan,nan,,161699.6613,169538.9794,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,2s2.2p5.(2P*<3/2>).5f,2[5/2],2,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1275.3234,0.0002,1275.3234,0.0001,1275.672262577575,1275.672262577575,2.8,nan,,105155.093,112994.097,3d6.(3F2).4d,4G,9/2,3d6.(5D<4>).5f,2[6]*,11/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1275.52,0.07,nan,1275.868915981962,nan,3500.0,D,80801.28887,88639.1,2s2.2p.4p,3D,2,2s2.2p.(2P*<3/2>).7d,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Si II,Si,2,nan,nan,1275.542,nan,nan,1275.8909219580414,nan,22700000.0,C+,113976.72,121814.38,3s2.6p,2P*,3/2,3s2.8s,2S,1/2,,T7166,,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1275.56507,0.00014,1275.56517,0.00023,1275.9139982247764,1275.9140982519405,170.0,nan,,161701.4486,169538.9668,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,3,2s2.2p5.(2P*<3/2>).5f,2[5/2],3,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,nan,nan,1275.568847,6e-06,nan,1275.9177762507609,nan,127540.0,AAA,nan,nan,1s.3d,1D,2,1s.5p,1P*,1,,T8636c73,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1275.6758,0.0004,1275.67686,8e-05,1276.0247583034861,1276.025818591425,1.5,nan,,99688.355,107525.187,3d6.(3F2).5s,f 4F,7/2,3d6.(5D).6p,6P*,5/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1275.68,0.07,nan,1276.028959444375,nan,21000.0,D,81325.81077,89162.6,2s2.2p.4p,3P,1,2s2.2p.(2P*<3/2>).8d,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Al I,Al,1,1275.7275,nan,1275.7268,nan,1276.0764723472864,1276.0757721571383,17.0,62900.0,C+,32435.453,40271.978,3s2.3d,2D,3/2,3s2.5p,2P*,1/2,,"u36,LS",L6693,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1275.81,nan,nan,1276.1589947576144,nan,20600.0,C+,112319.805,120155.8,2s2.2p2.(1D).3p,2P*,3/2,2s2.2p2.(1D).3d,2D,3/2,,T5714,,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1275.99494,0.00016,1275.99496,0.00023,1276.343984994817,1276.34400500025,37.0,nan,,163038.3544,170873.2327,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,2s2.2p5.(2P*<3/2>).6d,2[5/2]*,3,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1276.104,nan,nan,1276.4530746199594,nan,163000.0,D+,103667.16,111501.368,2s2.2p2.(3P).4s,4P,3/2,2s2.2p2.(3P).5p,4S*,3/2,,"u18,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,nan,nan,1276.2111,0.0004,nan,1276.5602037127035,nan,0.00109,C,13474.4474,21307.999,3d7,a 4P,5/2,3d7,a 2D2,3/2,M1,T8961,,NIST ASD,m51_nist_1270_1300_raw.csv
Al III,Al,3,nan,nan,1276.306,nan,nan,1276.6551294914427,nan,22900000.0,A+,170637.35,178470.32,2p6.5s,2S,1/2,2p6.5p,2P*,3/2,,c32,,NIST ASD,m51_nist_1270_1300_raw.csv
O II,O,2,nan,nan,1276.353,nan,nan,1276.7021422585792,nan,6630000.0,D,248010.23,255842.91,2s2.2p2.(3P).4p,2D*,3/2,2s2.2p2.(3P).4d,2D,3/2,,T5723LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1276.4678,0.0002,1276.46764,0.00011,1276.8169734430026,1276.81681339954,1.8,nan,,99918.563,107750.54,3d6.(3F2).5s,f 4F,3/2,3d6.(5D).6p,4D*,1/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1276.6582,0.0003,1276.65852,0.00023,1277.0074251635542,1277.0077452504795,nan,nan,,161699.6613,169530.4673,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,2s2.2p5.(2P*<3/2>).5f,2[3/2],1,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1276.6582,0.0003,1276.65544,0.00023,1277.0074251635542,1277.004664413823,nan,nan,,161699.6613,169530.4862,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,2s2.2p5.(2P*<3/2>).5f,2[3/2],2,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1276.74,nan,nan,1277.08924738385,nan,169000.0,C+,112319.805,120150.1,2s2.2p2.(1D).3p,2P*,3/2,2s2.2p2.(1D).3d,2D,5/2,,T5714,,NIST ASD,m51_nist_1270_1300_raw.csv
S IV,S,4,nan,nan,nan,nan,nan,nan,nan,437000.0,D,301109.8,308939.3,3s.3p.(3P*).4p,2D,3/2,3s.3p.(1P*).4s,2P*,1/2,,"T6527c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1276.9525,0.00014,1276.95247,0.00023,1277.3018051077718,1277.3017750996225,1600.0,244000.0,C+,150772.1118,158601.1152,2s2.2p5.(2P*<1/2>).3p,2[3/2],1,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,,T6976,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1277.1504,nan,nan,1277.499758865782,nan,663000.0,C+,96787.68,104615.47,2s2.2p2.(3P).3p,2D*,3/2,2s2.2p2.(3P).3d,2P,3/2,,T7370,,NIST ASD,m51_nist_1270_1300_raw.csv
Na I,Na,1,nan,nan,1277.1506,0.0005,nan,1277.4999589201107,nan,2330.0,C',33200.673,nan,2p6.5s,2S,1/2,2p6.17p,2P*,3/2,,T817,,NIST ASD,m51_nist_1270_1300_raw.csv
Na I,Na,1,nan,nan,1277.1576,0.0005,nan,1277.506960821608,nan,2330.0,C',33200.673,nan,2p6.5s,2S,1/2,2p6.17p,2P*,1/2,,T817,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1277.45,0.03,nan,1277.7994402499276,nan,34000.0,D,81344.05485,89170.01,2s2.2p.4p,3P,2,2s2.2p.(2P*<3/2>).8d,2[1/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,nan,nan,1277.5858,0.0003,nan,1277.935277139048,nan,0.0073,C,22939.3512,30764.4737,3d6.(3F2).4s,b 4F,5/2,3d6.(3G).4s,b 2G,7/2,M1,T9588c100,,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1277.6652,0.0003,1277.6654,0.00024,1278.0146987075154,1278.0148987618443,16.0,nan,,163038.3544,170862.9893,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,2s2.2p5.(2P*<3/2>).6d,2[3/2]*,2,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1277.684,0.0004,1277.68301,0.00011,1278.0335038144085,1278.0325135454818,2.7,nan,,103771.342,111595.869,3d6.(3H).4d,4G,9/2,3d6.(3H).5p,4H*,11/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Ni II,Ni,2,nan,nan,1277.916,nan,nan,1278.2655668356856,nan,2.1e-05,E,1506.94,9330.04,3p6.3d9,2D,3/2,3p6.3d8.(3F).4s,4F,7/2,E2,T4240,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1278.045,0.004,nan,1278.3946018777242,nan,6000.0,D,80782.44916,88604.76,2s2.2p.4p,3D,1,2s2.2p.(2P*<3/2>).7d,2[5/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1278.07218,0.00016,1278.07161,0.00011,1278.4217892610031,1278.4212191061663,1.7,nan,,104064.664,111886.812,3d6.(3H).4d,4I,13/2,3d6.(3F2).5p,4G*,11/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Ar II,Ar,2,1278.27756,5e-05,1278.27758,5e-05,1278.6272250512488,1278.6272450566817,447.0,nan,,181594.1404,189415.028,3s2.3p4.(3P).5s,4P,5/2,3s2.3p4.(3P).5p,4D*,7/2,,,L11520,NIST ASD,m51_nist_1270_1300_raw.csv
