wavelength_nm,aperture_flux,aperture_error,pabeta_continuum,pabeta_residual,pagamma_continuum,pagamma_residual
1008.478029310936,303.0488154888153,4.082756683092961,516.9315346289671,-213.88271914015183,525.4374907552042,-222.38867526638887
1009.1140293225179,286.0392030477524,4.444549158250119,516.6485412965434,-230.609338248791,524.074755294414,-238.0355522466616
1009.7500293340998,282.91180634498596,4.271973385205862,516.3655479641197,-233.45374161913378,522.7120198336238,-239.80021348863784
1010.3860293456819,295.6597992181778,4.328291456290334,516.0825546316959,-220.42275541351808,521.3492843728332,-225.68948515465536
1011.0220293572638,306.7895755767822,4.258682822362161,515.7995612992722,-209.00998572249,519.986548912043,-213.19697333526074
1011.6580293688456,321.1374638080597,4.244485953632065,515.5165679668485,-194.37910415878878,518.6238134512532,-197.48634964319353
1012.2940293804276,318.5894134044647,4.190729974100762,515.2335746344247,-196.64416122996,517.2610779904626,-198.67166458599786
1012.9300293920095,326.11613726615906,4.0303470091505424,514.9505813020011,-188.834444035842,515.8983425296724,-189.78220526351333
1013.5660294035913,324.64665961265564,4.147262107805755,514.6675879695774,-190.0209283569218,514.5356070688827,-189.88894745622702
1014.2020294151735,318.34579849243164,4.1047555573557934,514.3845946371536,-196.0387961447219,513.172871608092,-194.82707311566037
1014.8380294267553,317.3556544780731,4.252456064586959,514.1016013047299,-196.7459468266568,511.8101361473018,-194.4544816692287
1015.4740294383372,308.29668831825256,4.128829258852923,513.8186079723062,-205.5219196540536,510.4474006865116,-202.15071236825906
1016.1100294499191,323.04603934288025,3.872563412071252,513.5356146398824,-190.48957529700215,509.08466522572144,-186.0386258828412
1016.7460294615009,326.0547354221344,3.7399421548643677,513.2526213074588,-187.19788588532435,507.7219297649317,-181.6671943427973
1017.3820294730831,300.95020055770874,3.7996628485588047,512.9696279750349,-212.01942741732614,506.35919430414106,-205.40899374643232
1018.0180294846649,311.3887128829956,3.842572294964458,512.6866346426112,-201.29792175961563,504.99645884335087,-193.60774596035526
1018.6540294962468,330.0348312854767,3.752664444272778,512.4036413101876,-182.3688100247109,503.6337233825607,-173.598892097084
1019.2900295078288,322.49397683143616,3.9393659310843097,512.1206479777638,-189.62667114632768,502.2709879217705,-179.77701109033433
1019.9260295194106,321.6906542778015,3.797364373512033,511.83765464534014,-190.14700036753862,500.9082524609803,-179.21759818317878
1020.5620295309927,319.4125487804413,3.5992270585733586,511.5546613129163,-192.14211253247504,499.54551700018965,-180.13296821974836
1021.1980295425745,315.88567304611206,3.774813646234352,511.2716679804926,-195.38599493438056,498.1827815393999,-182.29710849328785
1021.8340295541565,313.8455767631531,3.5980501742101914,510.9886746480689,-197.14309788491585,496.8200460786097,-182.97446931545664
1022.4700295657384,327.75611186027527,3.6240679763545827,510.70568131564517,-182.9495694553699,495.45731061781953,-167.70119875754426
1023.1060295773202,320.27886176109314,3.8778329341665394,510.4226879832215,-190.14382622212838,494.09457515702934,-173.8157133959362
1023.7420295889024,313.00427985191345,3.908964926767936,510.13969465079765,-197.1354147988842,492.7318396962387,-179.72755984432524
1024.3780296004843,323.25630164146423,3.6864549306146603,509.85670131837395,-186.60039967690972,491.3691042354485,-168.11280259398427
1025.014029612066,317.9036159515381,3.6447316415318154,509.5737079859503,-191.67009203441222,490.00636877465877,-172.10275282312068
1025.650029623648,316.7428307533264,3.7246740194085595,509.2907146535266,-192.5478839002002,488.6436333138686,-171.90080256054216
1026.2860296352299,312.37643241882324,3.865119632873638,509.0077213211029,-196.63128890227966,487.2808978530784,-174.90446543425514
1026.922029646812,313.40924286842346,3.9348707351632863,508.72472798867904,-195.31548512025557,485.91816239228774,-172.50891952386428
1027.558029658394,317.60185647010803,3.85338466436703,508.44173465625533,-190.8398781861473,484.55542693149755,-166.95357046138952
1028.1940296699756,312.4082758426666,3.710836685843703,508.1587413238317,-195.75046548116507,483.1926914707078,-170.7844156280412
1028.8300296815576,314.499703168869,3.6392807059409913,507.875747991408,-193.37604482253897,481.8299560099176,-167.3302528410486
1029.4660296931395,323.54661297798157,3.6688995357982517,507.59275465898423,-184.04614168100267,480.46722054912743,-156.92060757114587
1030.1020297047216,312.18662571907043,3.642232530057011,507.3097613265604,-195.12313560748998,479.10448508833633,-166.9178593692659
1030.7380297163036,324.1616897583008,3.7490768586478445,507.0267679941367,-182.86507823583594,477.74174962754614,-153.58005986924536
1031.3740297278853,311.3590452671051,3.783800321046723,506.7437746617131,-195.38472939460797,476.3790141667564,-165.0199688996513
1032.0100297394672,312.5169577598572,3.7774112049276103,506.4607813292894,-193.9438235694322,475.0162787059662,-162.49932094610904
1032.6460297510491,305.41668939590454,3.7585084594206557,506.1777879968656,-200.76109860096108,473.653543245176,-168.23685384927148
1033.2820297626313,314.3019874095917,3.8761930377778913,505.8947946644418,-191.59280725485013,472.2908077843854,-157.9888203747937
1033.9180297742132,316.0533940792084,3.9387822396979044,505.6118013320181,-189.55840725280973,470.9280723235952,-154.8746782443868
1034.554029785795,305.18262910842896,4.012671894043519,505.32880799959446,-200.1461788911655,469.56533686280545,-164.3827077543765
1035.1900297973768,293.5782356262207,3.6844429226155375,505.04581466717076,-211.46757904095006,468.20260140201526,-174.62436577579456
1035.8260298089588,285.24434304237366,3.657822548278441,504.762821334747,-219.51847829237335,466.83986594122507,-181.5955228988514
1036.462029820541,298.46996212005615,3.611608076624611,504.4798280023232,-206.00986588226704,465.4771304804344,-167.00716836037827
1037.0980298321228,297.7114186286926,3.6828277043333975,504.1968346698995,-206.48541604120686,464.11439501964423,-166.4029763909516
1037.7340298437045,305.7998716831207,3.724679866992571,503.91384133747584,-198.11396965435512,462.7516595588545,-156.95178787573377
1038.3700298552865,313.98654079437256,3.6504596458723,503.6308480050521,-189.64430721067953,461.3889240980643,-147.40238330369175
1039.0060298668684,298.0878164768219,3.8155359630686734,503.3478546726284,-205.2600381958065,460.0261886372741,-161.93837216045222
1039.6420298784506,293.15215277671814,3.8691720334909165,503.0648613402046,-209.91270856348643,458.6634531764835,-165.51130039976533
1040.2780298900325,293.36404943466187,3.7374077914318797,502.7818680077808,-209.41781857311895,457.3007177156933,-163.93666828103142
1040.9140299016142,305.26387119293213,3.6454552986329363,502.49887467535723,-197.2350034824251,455.93798225490355,-150.67411106197142
1041.550029913196,307.7450394630432,3.5750195491765613,502.21588134293347,-194.47084187989026,454.57524679411335,-146.83020733107014
1042.186029924778,328.77879190444946,3.7431777761107567,501.93288801050977,-173.1540961060603,453.2125113333227,-124.43371942887325
1042.8220299363602,314.2788369655609,3.548113998906329,501.64989467808596,-187.37105771252504,451.84977587253206,-137.57093890697115
1043.4580299479421,327.74798464775085,3.5638782861659575,501.3669013456622,-173.61891669791135,450.4870404117419,-122.73905576399102
1044.0940299595238,326.46555638313293,3.6597706647407104,501.0839080132386,-174.61835163010568,449.12430495095214,-122.6587485678192
1044.7300299711058,307.5639342069626,3.6924587050863495,500.80091468081486,-193.23698047385227,447.76156949016195,-140.19763528319936
1045.3660299826877,320.43131375312805,3.6534174649554374,500.51792134839116,-180.0866075952631,446.39883402937176,-125.9675202762437
1046.0020299942698,330.42235589027405,3.747701589502091,500.23492801596734,-169.8125721256933,445.0360985685811,-114.61374267830706
1046.6380300058518,326.5190041065216,3.5487506845226755,499.9519346835436,-173.43293057702198,443.6733631077909,-117.15435900126931
1047.2740300174335,305.40667939186096,3.692627971711192,499.66894135112,-194.26226195925904,442.3106276470012,-136.90394825514022
